miteorigin,bl,year,sex,sp,origin,bodysize,num,vesnum,hunum,invnum,intnum,sum,vesp,hup,invp,intp,ptotal
W,1,2017,m,ves,W,4.84,28,28,0,18,0,46,0.608695652,0,0.391304348,0,0.92
W,2,2017,m,ves,W,4.55,23,23,1,7,9,40,0.575,0.025,0.175,0.225,0.8
W,3,2017,m,ves,G,5.38,23,23,0,7,0,30,0.766666667,0,0.233333333,0,0.6
W,4,2017,f,ves,G,4.33,5,5,0,16,21,42,0.119047619,0,0.380952381,0.5,0.84
W,5,2017,f,ves,G,4.46,19,19,2,14,13,48,0.395833333,0.041666667,0.291666667,0.270833333,0.96
W,6,2017,f,ves,W,4.87,22,22,4,6,1,33,0.666666667,0.121212121,0.181818182,0.03030303,0.66
W,7,2017,f,ves,W,5.31,29,29,0,1,0,30,0.966666667,0,0.033333333,0,0.6
W,8,2017,f,ves,W,4.37,18,18,6,5,2,31,0.580645161,0.193548387,0.161290323,0.064516129,0.62
G,9,2017,m,ves,G,4.81,20,20,1,8,17,46,0.434782609,0.02173913,0.173913043,0.369565217,0.92
G,10,2017,f,ves,G,5.09,32,32,1,3,14,50,0.64,0.02,0.06,0.28,1
G,11,2017,f,ves,W,4.75,18,18,6,5,13,42,0.428571429,0.142857143,0.119047619,0.30952381,0.84
G,12,2017,f,ves,G,4.93,0,0,9,14,27,50,0,0.18,0.28,0.54,1
G,13,2017,m,ves,W,4.53,12,12,2,10,26,50,0.24,0.04,0.2,0.52,1
G,14,2017,m,ves,W,4.41,12,12,4,9,24,49,0.244897959,0.081632653,0.183673469,0.489795918,0.98
G,15,2017,m,ves,M,4.25,15,15,3,12,20,50,0.3,0.06,0.24,0.4,1
G,16,2017,m,ves,W,4.5,14,14,2,16,18,50,0.28,0.04,0.32,0.36,1
G,17,2017,m,ves,W,4.47,19,19,2,10,19,50,0.38,0.04,0.2,0.38,1
G,18,2017,m,ves,W,4.84,35,35,0,10,5,50,0.7,0,0.2,0.1,1
G,19,2017,f,ves,M,5.34,25,25,3,0,20,48,0.520833333,0.0625,0,0.416666667,0.96
G,20,2017,f,ves,W,4.29,24,24,1,8,17,50,0.48,0.02,0.16,0.34,1
G,21,2017,f,ves,W,4.36,9,9,3,17,21,50,0.18,0.06,0.34,0.42,1
G,22,2017,f,ves,W,4.34,30,30,2,3,15,50,0.6,0.04,0.06,0.3,1
G,23,2017,f,ves,M,5.16,31,31,3,6,6,46,0.673913043,0.065217391,0.130434783,0.130434783,0.92
G,24,2017,f,ves,M,5.35,22,22,3,6,12,43,0.511627907,0.069767442,0.139534884,0.279069767,0.86
G,25,2017,f,ves,M,5.14,12,12,2,14,17,45,0.266666667,0.044444444,0.311111111,0.377777778,0.9
G,26,2017,m,ves,G,4.47,18,18,3,9,16,46,0.391304348,0.065217391,0.195652174,0.347826087,0.92
G,27,2017,m,ves,M,4.23,14,14,4,0,32,50,0.28,0.08,0,0.64,1
G,28,2017,m,ves,G,5.38,22,22,2,5,19,48,0.458333333,0.041666667,0.104166667,0.395833333,0.96
W,29,2017,f,ves,G,4.37,35,35,0,2,13,50,0.7,0,0.04,0.26,1
W,30,2017,f,ves,T,4.82,20,20,0,11,14,45,0.444444444,0,0.244444444,0.311111111,0.9
W,31,2017,m,ves,W,5.52,26,26,0,3,21,50,0.52,0,0.06,0.42,1
W,32,2017,m,ves,W,4.59,30,30,0,7,13,50,0.6,0,0.14,0.26,1
W,33,2017,m,ves,W,4.68,22,22,0,10,17,49,0.448979592,0,0.204081633,0.346938776,0.98
W,34,2017,m,ves,W,4.26,16,16,2,7,11,36,0.444444444,0.055555556,0.194444444,0.305555556,0.72
W,35,2017,m,ves,M,5.04,42,42,0,3,5,50,0.84,0,0.06,0.1,1
W,36,2017,m,ves,T,3.66,20,20,0,14,12,46,0.434782609,0,0.304347826,0.260869565,0.92
W,37,2017,m,ves,W,4.69,12,12,0,14,24,50,0.24,0,0.28,0.48,1
W,38,2017,m,ves,W,4.41,29,29,0,2,19,50,0.58,0,0.04,0.38,1
W,39,2017,f,ves,G,5.31,20,20,0,5,13,38,0.526315789,0,0.131578947,0.342105263,0.76
W,40,2017,f,ves,T,4.82,16,16,2,0,29,47,0.340425532,0.042553191,0,0.617021277,0.94
W,41,2017,m,ves,W,5.44,11,11,4,5,20,40,0.275,0.1,0.125,0.5,0.8
