tr,wt,mfamily,ffamily,mmite,fmite,mitenum,broodsize,broodmass,larvaldensity,yield
control,17.7,14,29,,,,15,3.5517,0.847457627,0.23678
control,15.71,40,4,,,,35,5.2052,2.227880331,0.14872
control,18.69,20,12,,,,33,5.2268,1.76565008,0.158387879
control,15.74,28,33,,,,22,3.7238,1.397712834,0.169263636
control,16.68,12,30,,,,16,3.0075,0.959232614,0.18796875
control,16.02,30,31,,,,22,4.177,1.373283396,0.189863636
control,16.01,19,26,,,,20,4.0321,1.249219238,0.201605
control,17.44,2,5,,,,38,4.928,2.178899083,0.129684211
control,15.25,23,42,,,,24,3.4768,1.573770492,0.144866667
control,16.43,29,23,,,,15,2.9151,0.91296409,0.19434
control,18.28,2,26,,,,26,4.8559,1.422319475,0.186765385
control,15.75,31,12,,,,25,4.4887,1.587301587,0.179548
control,18.81,41,11,,,,39,6.7174,2.073365231,0.172241026
control,15.5,16,11,,,,36,5.9358,2.322580645,0.164883333
control,18.84,26,9,,,,35,6.303,1.857749469,0.180085714
control,17.8,14,34,,,,24,4.724,1.348314607,0.196833333
control,15.47,40,26,,,,17,3.6028,1.098901099,0.211929412
control,15.37,2,15,,,,17,2.9351,1.106050748,0.172652941
control,19.5,15,6,,,,24,4.8597,1.230769231,0.2024875
control,19.08,27,25,,,,40,6.4031,2.096436059,0.1600775
ves,17.64,14,27,50,27,77,33,5.67,1.870748299,0.171818182
ves,15.26,18,40,2,23,25,36,4.7284,2.359108781,0.131344444
ves,15.64,27,15,61,39,100,32,4.1948,2.046035806,0.1310875
ves,16.45,41,19,44,43,87,21,4.1796,1.276595745,0.199028571
ves,18.41,18,41,26,26,52,32,5.0097,1.738185769,0.156553125
ves,15.98,42,41,59,58,117,36,4.8831,2.25281602,0.135641667
ves,15.43,30,29,80,40,120,33,3.9348,2.138690862,0.119236364
ves,15.04,26,19,20,34,54,24,3.7214,1.595744681,0.155058333
control,15.65,31,28,,,,24,4.1382,1.533546326,0.172425
ves,15.16,31,33,36,52,88,32,5.59,2.110817942,0.1746875
ves,17.7,11,23,104,57,161,3,0.5955,0.169491525,0.1985
ves,15.54,29,31,21,17,38,29,4.2154,1.866151866,0.145358621
ves,15.51,28,14,109,168,277,20,2.7381,1.289490651,0.136905
ves,17.12,31,14,76,22,98,37,5.4682,2.161214953,0.147789189
ves,18.57,15,25,44,2,46,20,4.1674,1.077005924,0.20837
ves,16.46,42,9,57,65,122,18,3.7584,1.093560146,0.2088
ves,18.67,34,9,43,14,57,29,5.8818,1.553294055,0.20282069
ves,19.55,40,16,57,4,61,22,4.83,1.125319693,0.219545455
ves,19.15,34,26,65,107,172,21,4.361,1.096605744,0.207666667
ves,19.86,11,16,36,15,51,38,6.6555,1.913393756,0.175144737
ves,17.11,11,20,3,5,8,25,4.7934,1.46113384,0.191736
ves,19.88,25,20,72,21,93,29,5.3076,1.458752515,0.18302069
ves,15.71,5,25,118,5,123,12,2.5902,0.763844685,0.21585
ves,15.68,5,26,29,8,37,41,3.8201,2.614795918,0.093173171
ves,17.55,30,31,26,41,67,35,5.2442,1.994301994,0.149834286
mix,16.93,15,5,1,0,1,17,3.4233,1.004134672,0.201370588
control,20.25,16,30,,,,32,5.9287,1.580246914,0.185271875
mix,18.63,2,7,1,0,1,33,5.5343,1.771336554,0.167706061
control,18.1,5,12,,,,38,5.553,2.099447514,0.146131579
mix,17.88,29,31,3,0,3,38,5.4443,2.125279642,0.143271053
mix,18.8,42,40,3,30,33,19,3.9679,1.010638298,0.208836842
control,19.78,4,25,,,,22,4.478,1.11223458,0.203545455
mix,15.7,32,34,0,15,15,0,0,,
mix,15.96,32,25,0,0,0,0,0,,
mix,15.86,42,34,0,1,1,16,3.5337,1.008827238,0.22085625
