wt,bl,beetle,mite,male,female,msize,fsize,mmite,fmite,mitenum,logmitenum,broodsize,broodmass,yield,density,clutchsize
17.99,1,G,C,38,39,5.48,4.45,,,,,23,3.9428,0.171426087,1.278488049,15
16.47,1,G,C,40,32,5.61,4.98,,,,,15,3.0265,0.201766667,0.910746812,13
16.11,1,G,C,1,17,4.97,4.57,,,,,16,3.0672,0.1917,0.993171943,11
15.67,1,G,C,9,7,5.62,4.92,,,,,20,3.3907,0.169535,1.276324186,20
15.52,1,G,C,7,34,5.51,4.88,,,,,6,1.1611,0.193516667,0.386597938,10
15.51,1,G,C,8,31,4.86,5.24,,,,,23,3.7344,0.162365217,1.482914249,20
16.66,1,G,C,24,33,5.07,4.85,,,,,23,3.5947,0.156291304,1.380552221,11
16.9,1,G,C,17,24,4.72,5.24,,,,,13,2.2779,0.175223077,0.769230769,25
16.6,1,G,C,28,14,4.87,4.63,,,,,11,2.2268,0.202436364,0.662650602,7
15.23,1,G,C,45,28,4.86,5.25,,,,,28,4.5073,0.160975,1.838476691,18
14.38,1,G,C,42,36,5.45,5.48,,,,,20,3.1165,0.155825,1.390820584,7
20.05,1,G,C,21,23,5.31,4.88,,,,,15,2.9867,0.199113333,0.748129676,15
16.87,1,G,C,39,10,4.48,4.43,,,,,15,2.9433,0.19622,0.889152341,13
16.05,1,G,C,43,38,5.2,4.65,,,,,13,2.1266,0.163584615,0.809968847,9
14.47,1,G,C,32,8,4.99,4.4,,,,,7,1.5791,0.225585714,0.483759502,5
15.01,1,G,C,4,1,,4.44,,,,,17,3.1515,0.185382353,1.132578281,12
16.07,1,G,C,35,4,5.13,4.49,,,,,22,3.5415,0.160977273,1.369010579,16
16.9,1,G,C,34,35,4.87,4.92,,,,,20,3.4074,0.17037,1.183431953,15
16.89,1,G,C,3,21,5.43,4.76,,,,,33,4.2361,0.128366667,1.953818828,14
17.24,1,G,C,12,20,4.23,4.45,,,,,19,2.968,0.156210526,1.102088167,6
14.83,1,G,C,33,9,,4.95,,,,,20,3.5493,0.177465,1.348617667,22
16.83,1,G,C,30,40,4.7,5.03,,,,,15,2.7822,0.18548,0.891265597,12
16.89,1,G,C,27,,5.01,4.91,,,,,21,3.7245,0.177357143,1.243339254,7
