miteorigin,sp,year,bl,sex,origin,bodysize,Species,num,hunum,invnum,intnum,sum,p,vesp,hup,invp,intp,newcomp,totalp
G,inv,2017,1,m,G,4.43,ves,3,2,4,1,10,0.3,0.3,0.2,0.4,0.1,0,1
G,inv,2017,2,f,G,4.41,ves,0,3,1,3,7,0,0,0.428571429,0.142857143,0.428571429,0,0.7
G,inv,2017,3,f,G,5.15,ves,1,0,3,6,10,0.1,0.1,0,0.3,0.6,0,1
G,inv,2017,4,f,G,4.35,ves,0,3,0,6,9,0,0,0.333333333,0,0.666666667,0,0.9
G,inv,2017,5,m,G,5.06,ves,0,3,0,5,8,0,0,0.375,0,0.625,0,0.8
G,inv,2017,6,m,W,5.28,ves,3,0,1,5,9,0.333333333,0.333333333,0,0.111111111,0.555555556,0,0.9
G,inv,2017,7,f,M,5.13,ves,4,3,0,1,8,0.5,0.5,0.375,0,0.125,0,0.8
G,int,2017,8,m,G,5.43,ves,4,0,0,3,7,0.571428571,0.571428571,0,0,0.428571429,0,0.7
G,int,2017,9,f,G,4.82,ves,0,1,0,6,7,0,0,0.142857143,0,0.857142857,0,0.7
G,int,2017,10,f,G,4.88,ves,2,0,1,4,7,0.285714286,0.285714286,0,0.142857143,0.571428571,0,0.7
G,int,2017,12,m,G,5.64,ves,2,0,2,6,10,0.2,0.2,0,0.2,0.6,0,1
G,int,2017,13,m,G,5.37,ves,1,3,0,4,8,0.125,0.125,0.375,0,0.5,0,0.8
G,inv,2017,14,f,M,4.62,ves,4,4,2,0,10,0.4,0.4,0.4,0.2,0,0,1
G,inv,2017,15,m,G,5.06,ves,5,0,2,2,9,0.555555556,0.555555556,0,0.222222222,0.222222222,0,0.9
G,int,2017,16,m,W,5.28,ves,4,0,1,5,10,0.4,0.4,0,0.1,0.5,0,1
G,int,2017,17,m,G,5.43,ves,5,0,0,5,10,0.5,0.5,0,0,0.5,0,1
G,int,2017,18,m,W,5.93,ves,6,2,0,2,10,0.6,0.6,0.2,0,0.2,0,1
G,int,2017,19,f,G,4.41,ves,3,0,0,7,10,0.3,0.3,0,0,0.7,0,1
G,int,2017,20,f,G,4.35,ves,3,1,1,4,9,0.333333333,0.333333333,0.111111111,0.111111111,0.444444444,0,0.9
G,hu,2017,21,m,G,4.53,ves,0,6,2,1,9,0,0,0.666666667,0.222222222,0.111111111,0,0.9
G,hu,2017,22,m,G,5.57,ves,3,5,0,2,10,0.3,0.3,0.5,0,0.2,0,1
G,hu,2017,23,m,G,5.64,ves,3,2,0,5,10,0.3,0.3,0.2,0,0.5,0,1
G,hu,2017,24,f,G,5.15,ves,4,2,0,4,10,0.4,0.4,0.2,0,0.4,0,1
G,hu,2017,25,f,G,4.82,ves,0,1,0,5,6,0,0,0.166666667,0,0.833333333,0,0.6
G,hu,2017,26,m,G,5.37,ves,3,1,1,4,9,0.333333333,0.333333333,0.111111111,0.111111111,0.444444444,0,0.9
G,hu,2017,27,m,G,4.43,ves,2,5,0,3,10,0.2,0.2,0.5,0,0.3,0,1
G,hu,2017,28,f,M,5.13,ves,0,8,0,2,10,0,0,0.8,0,0.2,0,1
G,hu,2017,29,f,G,4.35,ves,0,5,0,3,8,0,0,0.625,0,0.375,0,0.8
G,hu,2017,30,f,G,4.82,ves,1,3,1,5,10,0.1,0.1,0.3,0.1,0.5,0,1
W,inv,2017,31,m,G,4.9,ves,1,0,0,8,9,0.111111111,0.111111111,0,0,0.888888889,0,0.9
W,inv,2017,32,m,G,4,ves,0,0,0,10,10,0,0,0,0,1,0,1
W,inv,2017,33,m,W,3.58,ves,10,0,0,0,10,1,1,0,0,0,0,1
W,inv,2017,35,f,G,4.85,ves,3,2,3,1,9,0.333333333,0.333333333,0.222222222,0.333333333,0.111111111,0,0.9
W,inv,2017,36,f,G,4.88,ves,5,2,2,0,9,0.555555556,0.555555556,0.222222222,0.222222222,0,0,0.9
W,int,2017,37,m,W,5.93,ves,7,0,3,0,10,0.7,0.7,0,0.3,0,0,1
W,int,2017,38,m,G,5.57,ves,7,0,0,2,9,0.777777778,0.777777778,0,0,0.222222222,0,0.9
W,int,2017,39,m,G,5.43,ves,9,0,0,1,10,0.9,0.9,0,0,0.1,0,1
W,int,2017,40,m,G,5.64,ves,9,0,0,0,9,1,1,0,0,0,0,0.9
W,int,2017,41,f,M,4.62,ves,8,0,1,0,9,0.888888889,0.888888889,0,0.111111111,0,0,0.9
W,int,2017,43,m,G,5.06,ves,0,0,4,6,10,0,0,0,0.4,0.6,0,1
W,hu,2017,44,m,W,5.28,ves,10,0,0,0,10,1,1,0,0,0,0,1
W,hu,2017,45,f,G,4.41,ves,5,0,2,3,10,0.5,0.5,0,0.2,0.3,0,1
W,hu,2017,46,f,M,5.13,ves,7,0,0,3,10,0.7,0.7,0,0,0.3,0,1
W,hu,2017,47,f,G,5.15,ves,6,0,4,0,10,0.6,0.6,0,0.4,0,0,1
W,hu,2017,48,f,M,5.06,ves,8,0,0,2,10,0.8,0.8,0,0,0.2,0,1
W,hu,2017,49,m,G,5.37,ves,2,0,0,8,10,0.2,0.2,0,0,0.8,0,1
W,hu,2017,50,m,G,4.43,ves,6,0,1,3,10,0.6,0.6,0,0.1,0.3,0,1
W,int,2017,51,m,W,4.47,ves,2,1,6,0,9,0.222222222,0.222222222,0.111111111,0.666666667,0,0,0.9
W,hu,2017,52,f,G,4.35,ves,0,0,9,0,9,0,0,0,1,0,0,0.9
W,hu,2017,53,f,G,4.82,ves,1,0,4,2,7,0.142857143,0.142857143,0,0.571428571,0.285714286,0,0.7
W,hu,2017,54,f,G,5.07,ves,8,0,1,1,10,0.8,0.8,0,0.1,0.1,0,1
W,inv,2017,55,f,M,4.85,ves,9,0,0,0,9,1,1,0,0,0,0,0.9
W,inv,2017,56,m,G,5.43,ves,8,0,2,0,10,0.8,0.8,0,0.2,0,0,1
